article_id,url,source,title,old_status,new_status,reason
c10082f9-01c5-4822-a27f-8792a803dde4,https://abc17news.com/news/top-stories/2025/11/24/question-of-the-day-are-you-paying-less-for-your-thanksgiving-meal-this-year,ABC 17 KMIZ News,QUESTION OF THE DAY: Are you paying less for your Thanksgiving meal this year?,wire,cleaned,local_needs_classification
abaa8e34-863e-45b4-adf9-49dc33d9192b,https://abc17news.com/news/top-stories/2025/11/24/question-of-the-day-are-you-paying-less-for-your-thanksgiving-meal-this-year,ABC 17 KMIZ News,QUESTION OF THE DAY: Are you paying less for your Thanksgiving meal this year?,wire,cleaned,local_needs_classification
de82fe22-0eb4-4835-8521-7eba9c82b4e1,https://abc17news.com/video/2025/11/24/tracking-another-dreary-day-ahead-of-a-return-to-sunshine-and-cooler-air,ABC 17 KMIZ News,Tracking another dreary day ahead of a return to sunshine and cooler air,wire,cleaned,local_needs_classification
dd52be40-fb1a-45cb-b508-cba769ffda6e,https://abc17news.com/news/local-news/2025/11/23/local-doctor-offers-healthy-eating-tips-ahead-of-thanksgiving,ABC 17 KMIZ News,Local doctor offers healthy eating tips ahead of Thanksgiving,wire,cleaned,local_needs_classification
28f4a074-d432-4c79-969e-9e9bdc406d68,https://abc17news.com/sports/mizzou-tigers/mizzou-football/2025/11/23/recap-mizzou-striving-to-stick-together-after-suffering-fourth-loss,ABC 17 KMIZ News,RECAP: Mizzou striving to ‘stick together’ after suffering fourth loss,wire,cleaned,local_needs_classification
af350438-b6f6-44f2-bc3b-6767ec116e06,https://abc17news.com/sports/2025/11/23/sunday-sit-down-with-powermizzous-drew-king-6,ABC 17 KMIZ News,Sunday Sit-down with PowerMizzou’s Drew King,wire,cleaned,local_needs_classification
ec6e4b71-4b86-40af-b3da-05898c1d9374,https://abc17news.com/weather/2025/11/23/tracking-the-return-of-rain-monday-cool-for-thanksgiving,ABC 17 KMIZ News,"Tracking the return of rain Monday, cool for Thanksgiving",wire,cleaned,local_needs_classification
e28bf9f0-42bf-4c05-b170-e43cc3bef960,https://abc17news.com/sports/mizzou-tigers/mizzou-womens-basketball/2025/11/23/mizzou-womens-basketball-bounces-back-secures-17-point-win-over-washington-state,ABC 17 KMIZ News,"Mizzou women’s basketball bounces back, secures 17-point win over Washington State",wire,cleaned,local_needs_classification
6d8cb10f-aff9-4638-83a4-ae6ca703db60,https://abc17news.com/video/weather-video/2025/11/23/tracking-more-sunshine-today-rain-returning-tomorrow,ABC 17 KMIZ News,"Tracking more sunshine today, rain returning tomorrow",wire,cleaned,local_needs_classification
5be88ab7-2a1f-4d07-8e8f-77ad7dd07154,https://abc17news.com/weather/2025/11/23/tracking-more-sunshine-today-rain-returning-tomorrow,ABC 17 KMIZ News,"Tracking more sunshine today, rain returning tomorrow",wire,cleaned,local_needs_classification
a049718c-0678-4337-9085-c9dc986235da,https://abc17news.com/news/2025/11/22/more-than-6000-tickets-sold-for-ncaa-cross-country-championship,ABC 17 KMIZ News,"More than 6,000 NCAA Cross Country Championship tickets sold",wire,cleaned,local_needs_classification
bd07157e-1045-4351-9b1a-92e7fa486ec3,https://abc17news.com/news/2025/11/22/15-year-old-boy-hit-by-vehicle-while-rollerblading-in-morgan-county-saturday,ABC 17 KMIZ News,15-year-old boy hit by vehicle while rollerblading in Morgan County Saturday,wire,cleaned,local_needs_classification
bd65dc79-53bd-4892-b225-d3c7ecb2a092,https://abc17news.com/video/weather-video/2025/11/22/tracking-a-dry-sunday-before-rain-and-chilly-weather,ABC 17 KMIZ News,Tracking a dry Sunday before rain and chilly weather,wire,cleaned,local_needs_classification
ab13761b-5126-48fc-973e-097d3c64ea64,https://abc17news.com/sports/high-school-sports/2025/11/22/local-football-state-quarterfinal-highlights-and-scores-nov-22-2025,ABC 17 KMIZ News,"Local football state quarterfinal highlights and scores: Nov. 22, 2025",wire,cleaned,local_needs_classification
1cde25fe-298d-48c4-9295-d72549323e2a,https://abc17news.com/video/weather-video/2025/11/22/tracking-a-dry-sunday-before-rain-and-chilly-weather,ABC 17 KMIZ News,Tracking a dry Sunday before rain and chilly weather,wire,cleaned,local_needs_classification
