article_id                          , headline                                                                                                                     , url
2e37ec09-39f0-4d66-b49f-0354fc09e2e6, "Vacunación contra el covid-19 en EE.UU. requiere consulta médica, pero no receta, resuelven los CDC"                        , https://abc17news.com/cnn-spanish/2025/09/19/vacunacion-contra-el-covid-19-en-ee-uu-requiere-consulta-medica-pero-no-receta-resuelven-los-cdc/
03b40f8c-ac7e-4679-ac7b-846756f4a784, Overtourism is leading to more car crashes in Scotland. T-plates might be the answer                                         , https://abc17news.com/entertainment/cnn-style/2025/09/20/overtourism-is-leading-to-more-car-crashes-in-scotland-t-plates-might-be-the-answer/
ca942282-02fd-4eae-a1b1-049c7968e389, "‘Jimmy Kimmel Live!’ crew will be paid next week, as future of show remains in limbo"                                       , https://abc17news.com/entertainment/cnn-entertainment/2025/09/19/jimmy-kimmel-live-crew-will-be-paid-next-week-as-future-of-show-remains-in-limbo/
53f98af1-20b0-4d49-9320-0f2833eed940, Farm Aid celebrates its 40th anniversary with a benefit concert in Minneapolis                                               , https://www.ksmu.org/2025-09-20/farm-aid-celebrates-its-40th-anniversary-with-a-benefit-concert-in-minneapolis
e9201492-708c-4ee0-bddb-8a6b3f09f2e1, How Publishers Clearing House's bankruptcy is affecting winners                                                              , https://www.ksmu.org/2025-09-20/how-publishers-clearing-houses-bankruptcy-is-affecting-winners
d0084945-8f75-4e6f-834f-74320a09cd6a, Freed Israeli-American hostage says he will return to military service                                                       , https://abc17news.com/news/national-world/cnn-world/2025/09/19/freed-israeli-american-hostage-says-he-will-return-to-military-service/
a430838a-cba0-4e55-b03f-c1902c0072a6, Los manifestantes de la Generación Z se unen detrás de una bandera pirata del manga                                          , https://abc17news.com/cnn-spanish/2025/09/20/los-manifestantes-de-la-generacion-z-se-unen-detras-de-una-bandera-pirata-del-manga/
70bbf7a0-e404-414c-9470-d8f41a5a3e0a, Irish rap group Kneecap have been banned from entering Canada                                                                , https://abc17news.com/news/national-world/cnn-world/2025/09/19/irish-rap-group-kneecap-have-been-banned-from-entering-canada/
1b3473f4-c31d-40ff-a493-b63fc8ecfdd8, How ecommerce brands are preparing for the toughest peak season yet                                                          , https://abc17news.com/stacker-money/2025/09/19/how-ecommerce-brands-are-preparing-for-the-toughest-peak-season-yet/
ce382a83-8a1a-40cf-9dbb-916ad46150ed, Gaza hospital director receives bodies of brother and other relatives while on duty                                          , https://abc17news.com/news/national-world/cnn-world/2025/09/20/gaza-hospital-director-receives-bodies-of-brother-and-other-relatives-while-on-duty/
2e32bc15-d6cd-4c51-ba44-32dc8168c7d3, Winning numbers drawn in Friday’s Missouri Pick 3 Evening                                                                    , https://www.newspressnow.com/ap/ap-missouri-news/2025/09/19/winning-numbers-drawn-in-fridays-missouri-pick-3-evening-20/
57fecdea-0308-403f-aa3d-fdf3166d800a, Noboa convoca a consulta popular sobre una Asamblea Constituyente sin pedir antes el aval de la Corte Constitucional         , https://abc17news.com/cnn-spanish/2025/09/19/noboa-convoca-a-consulta-popular-sobre-una-asamblea-constituyente-sin-pedir-antes-el-aval-de-la-corte-constitucional/
a92ea82e-55a8-415b-a1c0-6d792da8c65b, South Carolina lawmakers haven’t been paid after one of their own sued over raise                                            , https://www.newspressnow.com/ap/ap-us-politics-news/2025/09/19/south-carolina-lawmakers-havent-been-paid-after-one-of-their-own-sued-over-raise/
264df7b4-553f-43f8-8abc-f58897da7d5b, El asesinato de una activista conmocionó a Honduras. Ahora su hija teme ser la próxima víctima                               , https://abc17news.com/cnn-spanish/2025/09/20/el-asesinato-de-una-activista-conmociono-a-honduras-ahora-su-hija-teme-ser-la-proxima-victima/
4323bc34-a91a-4209-b4fe-f044400a3cd0, U.S. attorney resigns under pressure from Trump to charge N.Y. AG Letitia James                                              , https://www.ksmu.org/2025-09-20/u-s-attorney-resigns-under-pressure-from-trump-to-charge-n-y-ag-letitia-james
184af55d-4d4f-4865-9d4e-665b55fea70a, Una pareja mexicana fue detenida por ICE y su hija de 19 años se enfrentó a los agentes migratorios                          , https://abc17news.com/cnn-spanish/2025/09/19/una-pareja-mexicana-fue-detenida-por-ice-y-su-hija-de-19-anos-se-enfrento-a-los-agentes-migratorios/
93d886c6-ee45-4144-aa97-e9ce51fad867, NHL Preseason Glance                                                                                                         , https://www.newspressnow.com/ap/ap-sports/2025/09/20/nhl-preseason-glance-2/
904b930f-23b9-4734-9a90-09b0cf701a66, Huge archive of drag culture takes on new urgency in today’s political climate                                               , https://abc17news.com/entertainment/cnn-style/2025/09/20/huge-archive-of-drag-culture-takes-on-new-urgency-in-todays-political-climate/
d7bd0d45-c298-43e6-b1c7-0ed5cb1fe49b, "Max Scherzer allows 7 runs while getting 2 outs, raising concerns for Blue Jays as playoffs near"                           , https://www.newspressnow.com/sports/kansas-city-royals/2025/09/19/max-scherzer-allows-7-runs-while-getting-2-outs-raising-concerns-for-blue-jays-as-playoffs-near/
d58d92be-9e9b-4fcd-aa3f-626d4586895d, Trump says U.S. military fatally struck another alleged drug-smuggling boat                                                  , https://www.stlpr.org/npr/2025-09-20/trump-says-u-s-military-fatally-struck-another-alleged-drug-smuggling-boat
e71a7b9d-b375-4c52-83ca-cdc0a0686c10, "US rolls toward a 'terrible' government shutdown, no exit ramp in sight"                                                    , https://abc17news.com/stacker-news/2025/09/19/us-rolls-toward-a-terrible-government-shutdown-no-exit-ramp-in-sight/
9e97e4ae-7b38-40ea-8d6e-3ed7d3989ff8, Do red light tickets affect insurance?                                                                                       , https://abc17news.com/stacker-money/2025/09/20/do-red-light-tickets-affect-insurance/
1edf5466-90e9-469e-81ae-69a18282cfdc, Trump presenta programa de “tarjeta dorada” que acelera visas de inmigrantes por una tarifa elevada                          , https://abc17news.com/cnn-spanish/2025/09/19/trump-presenta-programa-de-tarjeta-dorada-que-acelera-visas-de-inmigrantes-por-una-tarifa-elevada/
f2404851-ab78-427f-9f11-8f99d8a47266, Trump announces another lethal strike on alleged drug-trafficking vessel in international waters                             , https://abc17news.com/politics/national-politics/cnn-us-politics/2025/09/19/trump-announces-another-lethal-strike-on-alleged-drug-trafficking-vessel-in-international-waters/
281b360b-e711-4d36-8d7c-8c0624e571a7, Best counties to raise a family in Missouri                                                                                  , https://www.newspressnow.com/stacker-missouri/2025/09/20/best-counties-to-raise-a-family-in-missouri/
4fcfb551-eed0-4757-99c6-a86480fdf17c, Western recognition won’t change the reality on the ground: A Palestinian state has never seemed further away                , https://abc17news.com/news/national-world/cnn-world/2025/09/20/western-recognition-wont-change-the-reality-on-the-ground-a-palestinian-state-has-never-seemed-further-away/
8cb1214a-2a2a-460c-ac7e-421bb93dfb24, El director de un hospital de Gaza recibió durante su servicio los cadáveres de su hermano y otros familiares                , https://abc17news.com/cnn-spanish/2025/09/20/el-director-de-un-hospital-de-gaza-recibio-durante-su-servicio-los-cadaveres-de-su-hermano-y-otros-familiares/
565837c4-739a-4f0b-a0fc-858f52304911, AP-Scorecard                                                                                                                 , https://www.newspressnow.com/ap/ap-sports/2025/09/20/ap-scorecard-183/
9be632b6-03fc-4677-bf28-1d96cecd9e84, "Sutton Smith’s long run, a late fumble recovery by Memphis leads Tigers to win over Arkansas"                               , https://www.ky3.com/2025/09/20/sutton-smiths-long-run-late-fumble-recovery-by-memphis-leads-tigers-win-over-arkansas/
c1ac062e-f57b-4796-a205-158f81853915, Man charged with murder in 2017 killing faces more gun charges                                                               , https://abc17news.com/news/crime/2025/09/19/man-charged-with-murder-in-2017-killing-faces-more-gun-charges/
1644ae1e-9596-4b89-9157-2893fad87aa3, U.S. attorney resigns under pressure from Trump to charge N.Y. AG Letitia James                                              , https://www.stlpr.org/npr/2025-09-20/u-s-attorney-resigns-under-pressure-from-trump-to-charge-n-y-ag-letitia-james
